ordencompra,idpago,guia
6540029687-A,Home delivery,1Z52R4490430094054
4320029709-A,Home delivery,1Z52R4490434959443
0830029502-A,Click & Collect,273004911590
7780029667-A,Home delivery,1Z52R4490407162694
2400029495-A,Home delivery,1Z52R4490421381868
1940064134-A,Home delivery,1Z52R4490407685076
0230029774-A,Click & Collect,1Z52R4490402126063
4850029717-A,Click & Collect,1Z52R4490411769307
6500029862-A,Home delivery,1Z52R4490432033080
7330029945-A,Home delivery,1Z52R4490427206877
7330029945-A,Home delivery,1Z52R4490427206877
0320029818-A,Home delivery,273004913273
7140029859-A,Home delivery,1Z52R4490436004498
0290029425-A,Home delivery,1Z52R4490436413822
2530030085-A,Home delivery,1Z52R4490431473008
4780029847-A,Home delivery,1Z52R4490434144395
3970030652-A,Home delivery,1Z52R4490402647643
3440029683-A,Click & Collect,1Z52R4490424744989
8960029562-A,Click & Collect,1Z52R4490419428250
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
