codigo,cantidad
1123165CPOR-080,3
1123165CPOR-085,8
1123165CPOR-090,12
1123165CPOR-095,12
1123165CPOR-100,12
1123165CPOR-105,10
1123165CPOR-110,8
1123165CPOR-115,4
1123165CPOR-120,3
1123166BCSTL-060,4
1123166BCSTL-065,8
1123166BCSTL-070,13
1123166BCSTL-075,14
1123166BCSTL-080,14
1123166BCSTL-085,10
1123166BCSTL-090,6
1123166BCSTL-100,3
1123192BWHT-075,15
1123192BWHT-080,31
1123192BWHT-085,36
1123192BWHT-090,58
1123192BWHT-095,56
1123192BWHT-100,55
1123192BWHT-105,41
1123192BWHT-110,24
1123192BWHT-115,4
1123192BWHT-120,16
1123192BWHT-130,2
1123193BWHT-060,14
1123193BWHT-065,23
1123193BWHT-070,31
1123193BWHT-075,30
1123193BWHT-080,24
1123193BWHT-085,16
1123193BWHT-090,13
1123193BWHT-100,4
1123194OSBB-075,7
1123194OSBB-080,12
1123194OSBB-085,12
1123194OSBB-090,19
1123194OSBB-095,18
1123194OSBB-100,17
1123194OSBB-105,12
1123194OSBB-110,6
1123194OSBB-120,6
1123194OSBB-130,1
1119372DLMR-060,4
1119372DLMR-065,9
1119372DLMR-070,15
1119372DLMR-075,15
1119372DLMR-080,11
1119372DLMR-085,10
1119372DLMR-090,6
1119372DLMR-100,2
1127896CEPR-060,17
1127896CEPR-065,29
1127896CEPR-070,45
1127896CEPR-075,42
1127896CEPR-080,36
1127896CEPR-085,25
1127896CEPR-090,18
1127896CEPR-100,8
1123194BFLM-075,11
1123194BFLM-080,24
1123194BFLM-085,29
1123194BFLM-090,49
1123194BFLM-095,46
1123194BFLM-100,46
1123194BFLM-105,34
1123194BFLM-110,22
1123194BFLM-115,6
1123194BFLM-120,11
1123194BFLM-130,3
1113512BDBF-075,1
1113512BDBF-080,13
1113512BDBF-085,20
1113512BDBF-090,30
1113512BDBF-095,31
1113512BDBF-100,31
1113512BDBF-105,22
1113512BDBF-110,16
1113512BDBF-115,3
1113512BDBF-120,2
1113513BDBPY-060,6
1113513BDBPY-065,12
1113513BDBPY-070,22
1113513BDBPY-075,21
1113513BDBPY-080,23
1113513BDBPY-085,16
1113513BDBPY-090,9
1113513BDBPY-100,2
1123192CEPR-075,21
1123192CEPR-080,45
1123192CEPR-085,54
1123192CEPR-090,86
1123192CEPR-095,88
1123192CEPR-100,87
1123192CEPR-105,67
1123192CEPR-110,43
1123192CEPR-115,14
1123192CEPR-120,27
1123192CEPR-130,4
1123193CEPR-060,30
1123193CEPR-065,52
1123193CEPR-070,71
1123193CEPR-075,68
1123193CEPR-080,60
1123193CEPR-085,36
1123193CEPR-090,28
1123193CEPR-100,7
1129930DLCR-075,2
1129930DLCR-080,9
1129930DLCR-085,16
1129930DLCR-090,23
1129930DLCR-095,24
1129930DLCR-100,26
1129930DLCR-105,18
1129930DLCR-110,14
1129930DLCR-115,6
1129930DLCR-120,5
1129930DLCR-130,1
1131056DLCR-060,4
1131056DLCR-065,10
1131056DLCR-070,16
1131056DLCR-075,15
1131056DLCR-080,16
1131056DLCR-085,13
1131056DLCR-090,7
1131056DLCR-100,2
1132210BBLC-075,2
1132210BBLC-080,5
1132210BBLC-085,6
1132210BBLC-090,11
1132210BBLC-095,11
1132210BBLC-100,11
1132210BBLC-105,9
1132210BBLC-110,8
1132210BBLC-115,5
1132210BBLC-120,5
1132210BBLC-130,2
1123194HMBC-075,1
1123194HMBC-080,3
1123194HMBC-085,7
1123194HMBC-090,11
1123194HMBC-095,10
1123194HMBC-100,13
1123194HMBC-105,11
1123194HMBC-110,8
1123194HMBC-115,5
1123194HMBC-120,3
1123195BPYR-060,19
1123195BPYR-065,30
1123195BPYR-070,42
1123195BPYR-075,39
1123195BPYR-080,30
1123195BPYR-085,21
1123195BPYR-090,18
1123195BPYR-100,9
1123202RAFL-075,15
1123202RAFL-080,26
1123202RAFL-085,26
1123202RAFL-090,41
1123202RAFL-095,39
1123202RAFL-100,37
1123202RAFL-105,26
1123202RAFL-110,13
1123202RAFL-120,13
1123202RAFL-130,2
1127895CEPR-075,2
1127895CEPR-080,4
1127895CEPR-085,7
1127895CEPR-090,10
1127895CEPR-095,9
1127895CEPR-100,11
1127895CEPR-105,11
1127895CEPR-110,9
1127895CEPR-115,5
1127895CEPR-120,4
1127895CEPR-130,1
1127895PFMZ-075,28
1127895PFMZ-080,59
1127895PFMZ-085,68
1127895PFMZ-090,103
1127895PFMZ-095,106
1127895PFMZ-100,104
1127895PFMZ-105,76
1127895PFMZ-110,46
1127895PFMZ-115,17
1127895PFMZ-120,28
1127895PFMZ-130,3
